Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference
1,white,e2e4,31.2,e4,28.1,3.099999999999998
1,black,c7c5,32.8,e5,30.95,1.8499999999999979
1,white,g1f3,34.1,Nf3,29.75,4.350000000000001
1,black,b8c6,36.5,Nc6,33.1,3.3999999999999986
1,white,f1b5,33.0,Ng5,-209.55,242.55
1,black,d8g5,-457.6,Nh6,-235.75,-221.85000000000002
1,black,d8g5,-457.6,Nh6,-235.75,-221.85000000000002
1,black,d8g5,-457.6,Nh6,-235.75,-221.85000000000002
1,white,g5f3,-22.0,Bb5,-232.25,210.25
1,white,g5f3,-22.0,Bb5,-232.25,210.25
1,white,g5f3,-22.0,Bb5,-232.25,210.25
1,black,d8g5,-445.9,f6,-206.85,-239.04999999999998
1,white,g5f3,32.1,Bxc6,-17.2,49.3
1,white,g5f3,32.1,Bxc6,-17.2,49.3
1,white,g5f3,32.1,Bxc6,-17.2,49.3
1,black,b7c6,-66.1,b5,308.8,-374.9
1,white,g5e6,681.2,Bxd7+,368.35,312.85
1,black,c8d7,71.9,Bxd7,71.5,0.4000000000000057
1,white,g5f3,71.2,Nh3,23.05,48.150000000000006
1,black,d7g4,-18.7,Bd6,-10.7,-8.0
1,white,h3g1,-4.2,Nf4,-235.9,231.70000000000002
1,white,h3g1,-4.2,Nf4,-235.9,231.70000000000002
1,white,h3g1,-4.2,Nf4,-235.9,231.70000000000002
1,black,e5f4,-466.4,Qe7,-209.35,-257.04999999999995
1,white,f4d5,45.6,Nh3,-29.6,75.2
1,black,d7g4,-109.1,Ng4,-41.4,-67.69999999999999
1,white,d2d3,10.5,Ng5,-268.0,278.5
1,white,d2d3,10.5,Ng5,-268.0,278.5
1,white,d2d3,10.5,Ng5,-268.0,278.5
1,black,f6g5,-540.1,Qf8,-260.3,-279.8
1,white,g5f3,28.2,Nf7,-243.3,271.5
1,black,f8f7,-483.3,Nxf2,-152.9,-330.4
1,white,f7d6,185.7,Nxh8,-233.25,418.95
1,black,f2d1,-645.9,Qxh8,-149.75,-496.15
