,Game Number,Score Difference,Color
0,1,-453.476,White
1,2,-2154.458,White
2,3,166.094,White
3,4,-1006.948,White
4,5,1054.086,White
5,6,-249.776,White
6,7,830.036,White
7,8,-162.122,White
8,9,-150.831,White
9,10,674.104,White
10,11,270.486,White
11,12,177.626,White
12,13,-2984.872,White
13,14,-838.86,White
14,15,343.58,White
15,16,279.452,White
16,17,-564.252,White
17,18,338.566,White
18,19,-1249.51,White
19,20,-627.482,White
20,21,2490.235,White
21,22,275.156,White
22,23,-1762.79,White
23,24,-101.14,White
24,25,209.64,White
25,26,-522.612,White
26,27,-2069.354,White
27,28,-5446.806,White
28,29,358.38,White
29,30,-5588.88,White
30,31,247.386,White
31,32,1189.744,White
32,33,505.235,White
33,34,-573.43,White
34,35,178.692,White
35,36,1802.638,White
36,37,-1669.77,White
37,38,-723.83,White
38,39,3506.082,White
39,40,321.088,White
40,41,-527.94,White
41,42,-955.868,White
42,43,-6866.696,White
43,44,349.956,White
44,45,661.826,White
45,46,-2446.676,White
46,47,-1805.878,White
47,48,-581.568,White
48,49,-5233.656,White
49,50,-803.218,White
50,51,3810.574,White
51,52,-3737.97,White
52,53,-1318.54,White
53,54,1065.423,White
54,55,-1013.57,White
55,56,-651.134,White
56,57,16.21,White
57,58,228.048,White
58,59,380.307,White
59,60,2781.32,White
60,1,-2046.744,Black
61,2,-2073.018,Black
62,3,-110.5,Black
63,4,-1253.478,Black
64,5,242.626,Black
65,6,-237.424,Black
66,7,1349.633,Black
67,8,-983.86,Black
68,9,-16.805,Black
69,10,133.14,Black
70,11,-284.724,Black
71,12,-192.986,Black
72,13,-3599.34,Black
73,14,-2434.868,Black
74,15,-338.156,Black
75,16,-282.348,Black
76,17,-1123.436,Black
77,18,-349.05,Black
78,19,-2415.328,Black
79,20,-967.098,Black
80,21,1680.577,Black
81,22,-288.79,Black
82,23,-1091.862,Black
83,24,-721.542,Black
84,25,-214.546,Black
85,26,-1046.294,Black
86,27,-2578.526,Black
87,28,-6340.57,Black
88,29,225.942,Black
89,30,-5846.852,Black
90,31,-233.35,Black
91,32,223.188,Black
92,33,1500.208,Black
93,34,-1031.566,Black
94,35,-189.02,Black
95,36,1418.306,Black
96,37,-1784.226,Black
97,38,-961.112,Black
98,39,3543.108,Black
99,40,-332.302,Black
100,41,-1073.12,Black
101,42,-1430.652,Black
102,43,-5627.467,Black
103,44,-335.228,Black
104,45,-92.004,Black
105,46,-3630.908,Black
106,47,-2193.452,Black
107,48,-1946.694,Black
108,49,-6135.268,Black
109,50,-871.338,Black
110,51,2228.742,Black
111,52,-3905.172,Black
112,53,-1377.958,Black
113,54,967.621,Black
114,55,-1229.176,Black
115,56,-1260.626,Black
116,57,-147.314,Black
117,58,-229.418,Black
118,59,-370.471,Black
119,60,1872.542,Black
