Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference
1,black,e7e5,30.1,e5,33.2,-3.1000000000000014
1,black,b8c6,30.2,Nc6,31.7,-1.5
1,black,d8g5,-455.0,Nh6,-27.0,-428.0
1,black,d8g5,-442.2,f6,33.2,-475.4
1,black,b7c6,-63.5,b5,692.3,-755.8
1,black,d8d7,59.6,Bxd7,73.6,-13.999999999999991
1,black,d7g4,-14.7,Bd6,-1.6,-13.1
1,black,e5f4,-466.0,Qe7,46.5,-512.5
1,black,d7g4,-104.4,Ng4,25.3,-129.70000000000002
1,black,f6g5,-536.9,Qf8,22.5,-559.4
1,black,f8f7,-508.5,Nxf2,190.8,-699.3
1,black,f2d1,-645.9,Qxh8,343.2,-989.1
1,black,f2d1,-742.6,Qg8,251.5,-994.1
1,black,f2d1,-748.2,g5,353.8,-1102.0
1,black,f2d1,-753.6,b4,246.2,-999.8
1,black,g8f7,321.8,Kf8,274.8,47.0
1,black,d7e8,-735.2,Rxe8,-783.9,48.69999999999993
1,black,f2h1,-940.3,Qb3,-362.1,-578.1999999999999
1,black,b3c2,-18129.7,Ng4,110.6,-18240.3
1,black,b3c2,-1074.5,a5,-140.3,-934.2
1,black,b3c2,-942.8,Nf2,271.0,-1213.8
1,black,b3c2,-16226.9,h6,-69.4,-16157.5
1,black,b3f3,-973.3,Nh1,86.9,-1060.2
1,black,b3c2,-1061.2,Rd8,184.4,-1245.6
1,black,f8f7,100.1,Kg8,221.3,-121.20000000000002
1,black,b3c2,-1072.7,a4,162.2,-1234.9
1,black,b3f3,-764.8,Rxd7,601.7,-1366.5
1,black,b3c2,-1027.8,Rg7,555.6,-1583.4
1,black,d6g3,-2933.6,Rg6,577.1,-3510.7
1,black,d6g3,-959.3,Qa3,570.5,-1529.8
1,black,a3h3,-961.1,Qxb2,581.1,-1542.2
1,black,d6g3,-997.8,Rg7,499.6,-1497.4
1,black,d6g3,-1079.9,Rg6,531.2,-1611.1
1,black,b2b1,-932.7,Qa1,614.4,-1547.1
1,black,a1b1,-1048.7,bxa3,545.1,-1593.8000000000002
1,black,a1b1,-1191.7,f5,739.1,-1930.8
1,black,a1h8,-801.8,Qxh8,-786.1,-15.699999999999932
1,black,h8h4,-6760.7,Qe5,-675.9,-6084.8
1,black,d6e5,-678.0,Bxe5,-669.9,-8.100000000000023
1,black,e5d4,-718.5,Bf4,-515.2,-203.29999999999995
1,black,g5h4,-676.5,gxh4,-667.8,-8.700000000000045
1,black,g8g7,-769.3,Kf7,-747.4,-21.899999999999977
1,black,a3a2,-1058.0,Rg8,-861.6,-196.4
1,black,g8g7,-894.0,Rg7,-858.6,-35.39999999999998
1,black,f4g3,-1040.6,Rg8,-625.2,-415.39999999999986
1,black,a3a2,-877.3,Rh8,-513.5,-363.7999999999999
1,black,f4g5,-18093.4,Rg8,-411.3,-17682.100000000002
1,black,g8g7,-12391.9,Rxg7,-8652.2,-3739.699999999999
1,black,f5e4,-19994.0,fxg4,-12513.0,-7481.0
1,black,c7d6,-18098.4,cxd6,-18097.3,-1.1000000000021828
2,black,e7e5,32.6,e5,34.5,-1.8999999999999984
2,black,b8c6,30.8,Nc6,30.6,0.1999999999999993
2,black,d8g5,-451.8,Nge7,35.2,-487.0
2,black,c6d4,-98.8,Ng6,-45.0,-53.8
2,black,d8g5,-432.5,h5,175.7,-608.2
2,black,d8d7,18.3,Bxd7,18.9,-0.5999999999999979
2,black,g6h4,42.0,Be6,68.2,-26.200000000000003
2,black,d8g5,-579.4,f5,421.1,-1000.5
2,black,f5e4,-336.6,h4,-38.7,-297.90000000000003
2,black,g6f4,-617.2,h3,153.3,-770.5
2,black,h3g2,-640.5,b6,-345.6,-294.9
2,black,f8g7,-512.7,Kf7,242.4,-755.1
2,black,h3g2,-574.4,Rg8,-406.1,-168.29999999999995
2,black,h3g2,-435.7,Rc8,225.7,-661.4
2,black,d8h4,-594.6,fxe4,-436.8,-157.8
2,black,h3g2,-746.9,Bf5,-485.9,-261.0
2,black,h3g2,-663.3,Rh8,-217.7,-445.6
2,black,f5e6,-522.8,Bxc5,428.3,-951.1
2,black,h3g2,-968.5,Rxf8,-699.4,-269.1
2,black,d8d4,-823.9,Qe7,-592.0,-231.9
2,black,e4f3,-1213.5,Qg5,-775.6,-437.9
2,black,g5h5,-1079.6,Qxg2,-689.2,-390.39999999999986
2,black,f7f6,-949.8,Ke8,-14376.1,13426.3
2,black,g2g1,-19999.0,Rf6,-928.8,-19070.2
2,black,g6h8,-19993.7,Nf8,-778.0,-19215.7
2,black,f6g6,-765.3,Ng6,-958.7,193.4000000000001
2,black,g6h8,-19994.0,Ke7,-1236.3,-18757.7
2,black,c5f2,-19999.0,a5,-1280.0,-18719.0
2,black,g2g1,-19999.0,Qg4,387.8,-20386.8
2,black,f6f8,-677.9,Kxf8,-667.6,-10.299999999999956
2,black,f5g4,-638.3,Rf7,12.7,-651.0
2,black,f5g6,-235.4,Rf6,914.6,-1150.0
2,black,f8g8,-484.6,Kf7,396.0,-880.6
2,black,f6g6,1.7,Be3,678.3,-676.5999999999999
2,black,f5h7,313.2,Bxh7,320.9,-7.699999999999989
2,black,e3f2,-693.8,Bxd4,-572.1,-121.69999999999992
2,black,d4a1,-653.8,Be3,438.5,-1092.3
2,black,e3f2,-557.3,Bf5,267.7,-825.0
2,black,e3g5,37.6,Bxe6,441.5,-403.9
2,black,e3d4,-740.4,Rxf2,-127.8,-612.6
2,black,f2h2,-752.6,Bf5,-604.9,-147.70000000000005
2,black,e3d4,-851.9,Rf1+,-25.0,-826.9
2,black,e3d4,-658.5,Bf4,388.5,-1047.0
2,black,f1c1,-1138.7,Bh7,377.8,-1516.5
2,black,f1h1,-615.4,Rf3,15.8,-631.1999999999999
2,black,f4h2,-412.5,Rg3,395.9,-808.4
2,black,g3g2,-710.4,Rg1,447.0,-1157.4
2,black,g1g2,-755.1,Kg6,-499.9,-255.20000000000005
2,black,g1h1,-594.4,Rg2+,-569.6,-24.799999999999955
2,black,g2h2,-584.0,Rxh2,-580.5,-3.5
3,black,e7e5,27.6,e5,28.2,-0.5999999999999979
3,black,g8f6,41.7,Nc6,32.3,9.400000000000006
3,black,c6e5,-297.8,Nxe5,-294.7,-3.1000000000000227
3,black,e5g6,-299.5,Nf3+,257.4,-556.9
3,black,c7c6,266.1,Be7,316.2,-50.099999999999966
3,black,e8f7,-573.8,Kxf7,-573.5,-0.2999999999999545
3,black,d7d6,-630.2,c6,-650.3,20.09999999999991
3,black,d8e7,-662.5,Nxf6,-495.4,-167.10000000000002
3,black,d8e7,-743.1,Qxe7,-747.7,4.600000000000023
3,black,e7e4,-926.2,Rg8,-726.4,-199.80000000000007
3,black,e7e4,-856.7,Rh8,-743.2,-113.5
3,black,e7e4,-909.0,Rg8,-709.0,-200.0
3,black,e7e4,-830.8,Rh8,-737.4,-93.39999999999998
3,black,e7e4,-911.3,Rg8,-710.5,-200.79999999999995
3,black,e7e4,-829.2,Rh8,-747.6,-81.60000000000002
3,black,e7e4,-851.3,Rg8,-719.6,-131.69999999999993
3,black,e7e4,-856.0,Rh8,-742.3,-113.70000000000005
4,black,e7e5,29.2,e5,33.0,-3.8000000000000007
4,black,g8f6,41.5,Nc6,24.6,16.9
4,black,c6e5,-298.6,Ba3,562.9,-861.5
4,black,a3c5,218.5,Qg5,570.9,-352.4
4,black,a3c5,231.8,Nge7,550.5,-318.7
4,black,e7f5,117.1,b5,423.9,-306.79999999999995
4,black,a3e7,149.4,Nxe7,536.9,-387.5
4,black,g5g2,-316.9,Bd6,49.9,-366.7999999999999
4,black,e8f7,-317.1,Kxf7,-322.2,5.099999999999966
4,black,h8f8,-392.8,Bg3,266.6,-659.4000000000001
4,black,g5h5,-785.8,Qxh5,-789.1,3.300000000000068
4,black,g3d6,-864.6,Ng6,-732.2,-132.39999999999998
4,black,g3h2,-859.6,Bd6,-896.0,36.39999999999998
4,black,g6e7,-1001.8,a6,-861.3,-140.5
4,black,h8g8,-1038.5,Rxg8,-1034.7,-3.7999999999999545
4,black,g6f4,-12542.1,Nh4,-1079.8,-11462.3
4,black,h4g2,-19997.0,Rh8,-1091.0,-18906.0
4,black,h4g2,-19997.0,Bf4,-1089.9,-18907.1
4,black,h4g2,-1139.2,Qe2+,-668.7,-470.5
4,black,h4g6,-653.0,Bxd6,-654.3,1.2999999999999543
4,black,c8b7,-749.8,Bg3,-227.7,-522.0999999999999
4,black,g3e5,-672.3,Ng6,-302.8,-369.49999999999994
4,black,g3h4,-727.7,Rg8,-433.4,-294.30000000000007
4,black,g3d6,-635.5,Bd6,-629.1,-6.399999999999977
4,black,c8b7,-672.9,Rf8,-661.4,-11.5
4,black,f7g8,-739.9,Rh8,-632.4,-107.5
4,black,h7h6,-678.9,Rg8,-603.6,-75.29999999999995
4,black,h7g6,-742.0,Rxh8,-399.2,-342.8
4,black,f7g7,-648.3,Kf8,-178.4,-469.9
4,black,h8g8,-674.7,Kf7,508.6,-1183.3000000000002
4,black,f7g7,507.6,Bf4,644.3,-136.69999999999993
4,black,f7g8,-147.1,Bxd2+,388.9,-536.0
4,black,f7g8,360.7,Bb7,737.6,-376.9
