,Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference,Average Score Difference Black
0,1,black,c7c5,32.8,e5,30.95,1.849999999999998,-1748.705
1,1,black,b8c6,36.5,Nc6,33.1,3.3999999999999986,-1748.705
2,1,black,d8g5,-457.6,Nh6,-235.75,-221.85,-1748.705
3,1,black,d8g5,-445.9,f6,-206.85,-239.05,-1748.705
4,1,black,b7c6,-66.1,b5,308.8,-374.9,-1748.705
5,1,black,c8d7,71.9,Bxd7,71.5,0.4000000000000057,-1748.705
6,1,black,d7g4,-18.7,Bd6,-10.7,-8.0,-1748.705
7,1,black,e5f4,-466.4,Qe7,-209.35,-257.04999999999995,-1748.705
8,1,black,d7g4,-109.1,Ng4,-41.4,-67.69999999999999,-1748.705
9,1,black,f6g5,-540.1,Qf8,-260.3,-279.8,-1748.705
10,1,black,f8f7,-483.3,Nxf2,-152.9,-330.4,-1748.705
11,1,black,f2d1,-645.9,Qxh8,-149.75,-496.15,-1748.705
12,1,black,f2d1,-746.9,Qg8,-237.75,-509.15,-1748.705
13,1,black,f2d1,-749.0,g5,-206.3,-542.7,-1748.705
14,1,black,f2d1,-753.7,b4,-258.75,-494.9500000000001,-1748.705
15,1,black,e8f8,279.9,Kf8,285.15,-5.25,-1748.705
16,1,black,f8e8,-797.7,Rxe8,-789.3,-8.400000000000091,-1748.705
17,1,black,f2h1,-936.4,Qb3,-648.8,-287.6,-1748.705
18,1,black,b3c2,-19992.0,Ng4,-9939.35,-10052.65,-1748.705
19,1,black,b3c2,-1107.1,a5,-628.25,-478.8499999999999,-1748.705
20,1,black,b3c2,-944.8,Nf2,-337.35,-607.4499999999999,-1748.705
21,1,black,b3c2,-12497.3,h6,-6274.6,-6222.699999999999,-1748.705
22,1,black,b3c2,-1143.0,Nh1,-536.0,-607.0,-1748.705
23,1,black,b3c2,-978.3,Rd8,-393.65,-584.65,-1748.705
24,1,black,f8f7,101.9,Kg8,175.45,-73.54999999999998,-1748.705
25,1,black,b3c2,-1081.1,a4,-458.05,-623.05,-1748.705
26,1,black,b3f3,-795.0,Rxd7,-105.4,-689.6,-1748.705
27,1,black,b3c2,-1160.1,Rg7,-298.5,-861.5999999999999,-1748.705
28,1,black,d6g3,-4883.2,Rg6,-2156.05,-2727.1499999999996,-1748.705
29,1,black,d6g3,-904.4,Qa3,-180.8,-723.5999999999999,-1748.705
30,1,black,a3h3,-962.6,Qxb2,-192.75,-769.85,-1748.705
31,1,black,d6g3,-1026.6,Rg7,-287.55,-739.05,-1748.705
32,1,black,d6g3,-1098.0,Rg6,-285.05,-812.95,-1748.705
33,1,black,b2b1,-951.4,Qa1,-177.7,-773.7,-1748.705
34,1,black,a1b1,-1047.3,bxa3,-250.4,-796.9,-1748.705
35,1,black,a1b1,-1214.5,f5,-276.85,-937.65,-1748.705
36,1,black,a1h8,-783.6,Qxh8,-781.9,-1.7000000000000457,-1748.705
37,1,black,h8h4,-1115.5,Qe5,-914.3,-201.20000000000005,-1748.705
38,1,black,d6e5,-672.7,Bxe5,-677.9,5.199999999999932,-1748.705
39,1,black,e5d4,-720.8,Bf4,-628.6,-92.19999999999992,-1748.705
40,1,black,g5h4,-662.4,gxh4,-664.65,2.25,-1748.705
41,1,black,g8g7,-759.1,Kf7,-745.85,-13.25,-1748.705
42,1,black,f5e4,-957.3,Rg8,-906.05,-51.25,-1748.705
43,1,black,g8g7,-888.3,Rg7,-882.95,-5.349999999999909,-1748.705
44,1,black,f4g3,-8639.3,Rg8,-4627.35,-4011.949999999999,-1748.705
45,1,black,a3a2,-897.4,Rh8,-712.8,-184.6,-1748.705
46,1,black,f4g5,-19988.8,Rg8,-10203.2,-9785.6,-1748.705
47,1,black,f7g7,-4916.4,Rxg7,138.5,-5054.9,-1748.705
48,1,black,f5e4,-19993.0,fxg4,-3148.75,-16844.25,-1748.705
49,1,black,f4d6,-18118.1,cxd6,-120.9,-17997.199999999997,-1748.705
50,2,black,c7c5,36.4,e5,35.95,0.4499999999999957,-1356.904
