Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference
1,white,e2e4,30.7,e4,29.2,1.5
1,black,e7e5,30.1,e5,33.2,-3.1000000000000014
1,white,g1f3,32.5,Nf3,30.4,2.1000000000000014
1,black,b8c6,30.2,Nc6,31.7,-1.5
1,white,f1b5,25.4,Ng5,-456.2,481.6
1,black,d8g5,-455.0,Nh6,-27.0,-428.0
1,white,d2d3,-38.3,Bb5,-443.0,404.7
1,black,d8g5,-442.2,f6,33.2,-475.4
1,white,g5f3,28.6,Bxc6,-68.4,97.0
1,black,b7c6,-63.5,b5,692.3,-755.8
1,white,g5e6,690.3,Bxd7+,59.4,630.9
1,black,d8d7,59.6,Bxd7,73.6,-13.999999999999991
1,white,g5f3,71.6,Nh3,-21.0,92.6
1,black,d7g4,-14.7,Bd6,-1.6,-13.1
1,white,h3g1,-3.6,Nf4,-472.4,468.7999999999999
1,black,e5f4,-466.0,Qe7,46.5,-512.5
1,white,f4d5,44.1,Nh3,-108.9,153.0
1,black,d7g4,-104.4,Ng4,25.3,-129.70000000000002
1,white,d2d3,13.6,Ng5,-546.8,560.4
1,black,f6g5,-536.9,Qf8,22.5,-559.4
1,white,g5f3,25.9,Nf7,-514.0,539.9
1,black,f8f7,-508.5,Nxf2,190.8,-699.3
1,white,f7d6,192.3,Nxh8,-656.6,848.9000000000001
1,black,f2d1,-645.9,Qxh8,343.2,-989.1
1,white,e1f2,334.3,Rg1,-749.2,1083.5
1,black,f2d1,-742.6,Qg8,251.5,-994.1
1,white,e1f2,275.0,Rh1,-763.8,1038.8
1,black,f2d1,-748.2,g5,353.8,-1102.0
1,white,d1h5,355.7,Rg1,-773.8,1129.5
1,black,f2d1,-753.6,b4,246.2,-999.8
1,white,e1f2,243.7,Qh5+,290.0,-46.30000000000001
1,black,g8f7,321.8,Kf8,274.8,47.0
1,white,d2d3,175.7,Qe8+,-732.1,907.8
1,black,d7e8,-735.2,Rxe8,-783.9,48.69999999999993
1,white,g1f1,-814.2,Rh1,-938.9,124.69999999999992
1,black,f2h1,-940.3,Qb3,-362.1,-578.1999999999999
1,white,a2b3,-368.4,Rg1,17882.7,-18251.1
1,black,b3c2,-18129.7,Ng4,110.6,-18240.3
1,white,a2b3,115.5,Nc3,-1040.9,1156.4
1,black,b3c2,-1074.5,a5,-140.3,-934.2
1,white,a2b3,-127.6,Nd5,-945.6,818.0
1,black,b3c2,-942.8,Nf2,271.0,-1213.8
1,white,a2b3,266.6,Ne7,13618.9,-13352.3
1,black,b3c2,-16226.9,h6,-69.4,-16157.5
1,white,a2b3,-42.8,g4,-965.5,922.7
1,black,b3f3,-973.3,Nh1,86.9,-1060.2
1,white,a2b3,70.3,Rxh1,-1019.6,1089.9
1,black,b3c2,-1061.2,Rd8,184.4,-1245.6
1,white,a2b3,181.0,Ng6+,104.1,76.9
1,black,f8f7,100.1,Kg8,221.3,-121.20000000000002
1,white,a2b3,242.6,Nxe5,-1049.5,1292.1
1,black,b3c2,-1072.7,a4,162.2,-1234.9
1,white,a2b3,173.7,Nxd7,-763.7,937.4
1,black,b3f3,-764.8,Rxd7,601.7,-1366.5
1,white,a2b3,600.5,Rg1,-998.2,1598.7
1,black,b3c2,-1027.8,Rg7,555.6,-1583.4
1,white,c2b3,541.6,Rg3,-1020.8,1562.4
1,black,d6g3,-2933.6,Rg6,577.1,-3510.7
1,white,c2b3,573.0,Rb1,-950.9,1523.9
1,black,d6g3,-959.3,Qa3,570.5,-1529.8
1,white,b2a3,541.4,Rh3,-950.8,1492.1999999999998
1,black,a3h3,-961.1,Qxb2,581.1,-1542.2
1,white,c1b2,582.3,Rg3,-1014.1,1596.4
1,black,d6g3,-997.8,Rg7,499.6,-1497.4
1,white,c1b2,513.1,a3,-1077.0,1590.1
1,black,d6g3,-1079.9,Rg6,531.2,-1611.1
1,white,c1b2,533.1,Rh3,-929.6,1462.7
1,black,b2b1,-932.7,Qa1,614.4,-1547.1
1,white,b1a1,619.7,d3,-1014.0,1633.7
1,black,a1b1,-1048.7,bxa3,545.1,-1593.8000000000002
1,white,b1a1,545.4,Rxh6,-1067.1,1612.5
1,black,a1b1,-1191.7,f5,739.1,-1930.8
1,white,h6g6,744.3,Rh8+,-755.0,1499.3
1,black,a1h8,-801.8,Qxh8,-786.1,-15.699999999999932
1,white,b1b8,-685.3,Bf4,-1012.8,327.5
1,black,h8h4,-6760.7,Qe5,-675.9,-6084.8
1,white,b1b8,-688.5,Bxe5,-667.0,-21.5
1,black,d6e5,-678.0,Bxe5,-669.9,-8.100000000000023
1,white,b1b8,-674.8,d4,-699.3,24.5
1,black,e5d4,-718.5,Bf4,-515.2,-203.29999999999995
1,white,g4f5,-541.4,h4,-649.8,108.39999999999998
1,black,g5h4,-676.5,gxh4,-667.8,-8.700000000000045
1,white,b1b4,-706.2,Rb8+,-753.9,47.69999999999993
1,black,g8g7,-769.3,Kf7,-747.4,-21.899999999999977
1,white,g4f5,-1231.6,Rh8,-892.0,-339.5999999999999
1,black,a3a2,-1058.0,Rg8,-861.6,-196.4
1,white,h8h5,-831.1,Rh7+,-840.7,9.600000000000025
1,black,g8g7,-894.0,Rg7,-858.6,-35.39999999999998
1,white,h7h5,-884.3,Rxh4,-928.0,43.700000000000045
1,black,f4g3,-1040.6,Rg8,-625.2,-415.39999999999986
1,white,h4h7,-619.1,Rh5,-830.4,211.29999999999995
1,black,a3a2,-877.3,Rh8,-513.5,-363.7999999999999
1,white,h5f5,-515.7,Rg5,17903.8,-18419.5
1,black,f4g5,-18093.4,Rg8,-411.3,-17682.100000000002
1,white,g5f5,-422.4,Rg7+,884.8,-1307.1999999999998
1,black,g8g7,-12391.9,Rxg7,-8652.2,-3739.699999999999
1,white,d4d5,20009.0,d5,17885.4,2123.5999999999985
1,black,f5e4,-19994.0,fxg4,-12513.0,-7481.0
1,white,e4e5,11511.4,d6,15775.0,-4263.6
1,black,c7d6,-18098.4,cxd6,-18097.3,-1.1000000000021828
2,white,e2e4,34.0,e4,29.5,4.5
2,black,e7e5,32.6,e5,34.5,-1.8999999999999984
2,white,g1f3,30.0,Nf3,32.8,-2.799999999999997
2,black,b8c6,30.8,Nc6,30.6,0.1999999999999993
2,white,f1b5,33.7,Ng5,-457.0,490.7
2,black,d8g5,-451.8,Nge7,35.2,-487.0
2,white,f1c4,30.3,Bb5,-99.8,130.1
2,black,c6d4,-98.8,Ng6,-45.0,-53.8
2,white,g5f3,-46.8,Bxc6,-434.8,388.0
2,black,d8g5,-432.5,h5,175.7,-608.2
2,white,g5f7,181.8,Bxd7+,13.0,168.8
2,black,d8d7,18.3,Bxd7,18.9,-0.5999999999999979
2,white,g5f3,26.4,Nf3,38.4,-12.0
2,black,g6h4,42.0,Be6,68.2,-26.200000000000003
2,white,d2d3,59.4,Ng5,-590.6,650.0
2,black,d8g5,-579.4,f5,421.1,-1000.5
2,white,g5e6,433.3,Nh3,-336.5,769.8
2,black,f5e4,-336.6,h4,-38.7,-297.90000000000003
2,white,b1c3,-36.1,Nf4,-620.3,584.1999999999999
2,black,g6f4,-617.2,h3,153.3,-770.5
2,white,f4e6,166.2,Nh5,-644.1,810.3
2,black,h3g2,-640.5,b6,-345.6,-294.9
2,white,h1g1,-372.5,Nxg7+,-523.7,151.20000000000005
2,black,f8g7,-512.7,Kf7,242.4,-755.1
2,white,g7e6,236.6,Ne8,-649.6,886.2
2,black,h3g2,-574.4,Rg8,-406.1,-168.29999999999995
2,white,g2g3,-402.2,Nxc7,-436.5,34.30000000000001
2,black,h3g2,-435.7,Rc8,225.7,-661.4
2,white,c7e6,191.9,Ne8,-564.7,756.6
2,black,d8h4,-594.6,fxe4,-436.8,-157.8
2,white,g2g3,-434.0,b3,-779.4,345.4
2,black,h3g2,-746.9,Bf5,-485.9,-261.0
2,white,g2g3,-492.0,Ng7,-715.8,223.79999999999995
2,black,h3g2,-663.3,Rh8,-217.7,-445.6
2,white,g7f5,-208.7,Ne6,-534.9,326.2
2,black,f5e6,-522.8,Bxc5,428.3,-951.1
2,white,e6d8,450.4,Nf8,17919.2,-17468.8
2,black,h3g2,-968.5,Rxf8,-699.4,-269.1
2,white,g2g3,-623.5,Rg1,-1049.5,426.0
2,black,d8d4,-823.9,Qe7,-592.0,-231.9
2,white,c1a3,-595.7,Qf3,-1151.9,556.2
2,black,e4f3,-1213.5,Qg5,-775.6,-437.9
2,white,f3g3,-748.8,Qh5,-1096.9,348.10000000000014
2,black,g5h5,-1079.6,Qxg2,-689.2,-390.39999999999986
2,white,g1g2,-704.9,Qh7+,-930.7,225.80000000000007
2,black,f7f6,-949.8,Ke8,-14376.1,13426.3
2,white,g1f1,5132.2,Qg7,20002.0,-14869.8
2,black,g2g1,-19999.0,Rf6,-928.8,-19070.2
2,white,g1f1,-993.7,Qh8+,20007.0,-21000.7
2,black,g6h8,-19993.7,Nf8,-778.0,-19215.7
2,white,h8h5,-924.7,Qh5+,-906.7,-18.0
2,black,f6g6,-765.3,Ng6,-958.7,193.4000000000001
2,white,g1g2,-915.0,Qh8+,20007.8,-20922.8
2,black,g6h8,-19994.0,Ke7,-1236.3,-18757.7
2,white,h8g7,740.1,Qg8,20002.0,-19261.9
2,black,c5f2,-19999.0,a5,-1280.0,-18719.0
2,white,g1f1,-1146.3,Qxc8,20002.0,-21148.3
2,black,g2g1,-19999.0,Qg4,387.8,-20386.8
2,white,c8c7,383.4,Qf8+,-675.0,1058.4
2,black,f6f8,-677.9,Kxf8,-667.6,-10.299999999999956
2,white,g1g4,-638.6,Rxg4,-664.3,25.699999999999932
2,black,f5g4,-638.3,Rf7,12.7,-651.0
2,white,g4g3,7.2,Rxg6,-221.6,228.8
2,black,f5g6,-235.4,Rf6,914.6,-1150.0
2,white,g6f6,919.4,Rg8+,-426.1,1345.5
2,black,f8g8,-484.6,Kf7,396.0,-880.6
2,white,g8g1,398.7,Rh8,0.4,398.3
2,black,f6g6,1.7,Be3,678.3,-676.5999999999999
2,white,d2e3,659.6,Rxh7+,317.6,342.0
2,black,f5h7,313.2,Bxh7,320.9,-7.699999999999989
2,white,d2e3,315.5,d4,-643.7,959.2
2,black,e3f2,-693.8,Bxd4,-572.1,-121.69999999999992
2,white,c2c3,-571.7,Bd2,-649.4,77.69999999999993
2,black,d4a1,-653.8,Be3,438.5,-1092.3
2,white,d2e3,426.5,Bc3,-541.3,967.8
2,black,e3f2,-557.3,Bf5,267.7,-825.0
2,white,f2e3,257.1,Bxe5,40.9,216.2
2,black,e3g5,37.6,Bxe6,441.5,-403.9
2,white,e5f6,446.9,Bd4,-748.0,1194.9
2,black,e3d4,-740.4,Rxf2,-127.8,-612.6
2,white,d4e3,-129.8,Bh8,-767.5,637.7
2,black,f2h2,-752.6,Bf5,-604.9,-147.70000000000005
2,white,b1a3,-626.8,Bd4,-831.5,204.70000000000005
2,black,e3d4,-851.9,Rf1+,-25.0,-826.9
2,white,e1f1,-22.7,Ke2,-661.6,638.9
2,black,e3d4,-658.5,Bf4,388.5,-1047.0
2,white,e2f1,387.3,Bh8,13744.7,-13357.4
2,black,f1c1,-1138.7,Bh7,377.8,-1516.5
2,white,e2f1,372.9,Bd4,-611.2,984.1
2,black,f1h1,-615.4,Rf3,15.8,-631.1999999999999
2,white,b1d2,14.1,Bh8,-407.3,421.4
2,black,f4h2,-412.5,Rg3,395.9,-808.4
2,white,h2g3,408.0,Bd4,-661.5,1069.5
2,black,g3g2,-710.4,Rg1,447.0,-1157.4
2,white,d4g1,436.8,Bh8,-811.3,1248.1
2,black,g1g2,-755.1,Kg6,-499.9,-255.20000000000005
2,white,b1c3,-512.5,Bd4,-565.3,52.799999999999955
2,black,g1h1,-594.4,Rg2+,-569.6,-24.799999999999955
2,white,e2f1,-573.8,Kf1,-565.5,-8.299999999999955
2,black,g2h2,-584.0,Rxh2,-580.5,-3.5
3,white,e2e4,33.0,e4,29.5,3.5
3,black,e7e5,27.6,e5,28.2,-0.5999999999999979
3,white,g1f3,29.9,Nf3,27.1,2.799999999999997
3,black,g8f6,41.7,Nc6,32.3,9.400000000000006
3,white,f1b5,25.4,Nxe5,-293.7,319.09999999999997
3,black,c6e5,-297.8,Nxe5,-294.7,-3.1000000000000227
3,white,d2d4,-303.3,Nc3,-303.3,0.0
3,black,e5g6,-299.5,Nf3+,257.4,-556.9
3,white,d1f3,256.2,Qxf3,255.3,0.8999999999999773
3,black,c7c6,266.1,Be7,316.2,-50.099999999999966
3,white,f1c4,318.7,Qxf7+,-564.1,882.8
3,black,e8f7,-573.8,Kxf7,-573.5,-0.2999999999999545
3,white,d2d4,-580.1,Nd5,-636.4,56.299999999999955
