Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference
1,white,e2e4,30.7,e4,29.2,1.5
1,white,g1f3,32.5,Nf3,30.4,2.1000000000000014
1,white,f1b5,25.4,Ng5,-456.2,481.6
1,white,d2d3,-38.3,Bb5,-443.0,404.7
1,white,g5f3,28.6,Bxc6,-68.4,97.0
1,white,g5e6,690.3,Bxd7+,59.4,630.9
1,white,g5f3,71.6,Nh3,-21.0,92.6
1,white,h3g1,-3.6,Nf4,-472.4,468.7999999999999
1,white,f4d5,44.1,Nh3,-108.9,153.0
1,white,d2d3,13.6,Ng5,-546.8,560.4
1,white,g5f3,25.9,Nf7,-514.0,539.9
1,white,f7d6,192.3,Nxh8,-656.6,848.9000000000001
1,white,e1f2,334.3,Rg1,-749.2,1083.5
1,white,e1f2,275.0,Rh1,-763.8,1038.8
1,white,d1h5,355.7,Rg1,-773.8,1129.5
1,white,e1f2,243.7,Qh5+,290.0,-46.30000000000001
1,white,d2d3,175.7,Qe8+,-732.1,907.8
1,white,g1f1,-814.2,Rh1,-938.9,124.69999999999992
1,white,a2b3,-368.4,Rg1,17882.7,-18251.1
1,white,a2b3,115.5,Nc3,-1040.9,1156.4
1,white,a2b3,-127.6,Nd5,-945.6,818.0
1,white,a2b3,266.6,Ne7,13618.9,-13352.3
1,white,a2b3,-42.8,g4,-965.5,922.7
1,white,a2b3,70.3,Rxh1,-1019.6,1089.9
1,white,a2b3,181.0,Ng6+,104.1,76.9
1,white,a2b3,242.6,Nxe5,-1049.5,1292.1
1,white,a2b3,173.7,Nxd7,-763.7,937.4
1,white,a2b3,600.5,Rg1,-998.2,1598.7
1,white,c2b3,541.6,Rg3,-1020.8,1562.4
1,white,c2b3,573.0,Rb1,-950.9,1523.9
1,white,b2a3,541.4,Rh3,-950.8,1492.1999999999998
1,white,c1b2,582.3,Rg3,-1014.1,1596.4
1,white,c1b2,513.1,a3,-1077.0,1590.1
1,white,c1b2,533.1,Rh3,-929.6,1462.7
1,white,b1a1,619.7,d3,-1014.0,1633.7
1,white,b1a1,545.4,Rxh6,-1067.1,1612.5
1,white,h6g6,744.3,Rh8+,-755.0,1499.3
1,white,b1b8,-685.3,Bf4,-1012.8,327.5
1,white,b1b8,-688.5,Bxe5,-667.0,-21.5
1,white,b1b8,-674.8,d4,-699.3,24.5
1,white,g4f5,-541.4,h4,-649.8,108.39999999999998
1,white,b1b4,-706.2,Rb8+,-753.9,47.69999999999993
1,white,g4f5,-1231.6,Rh8,-892.0,-339.5999999999999
1,white,h8h5,-831.1,Rh7+,-840.7,9.600000000000025
1,white,h7h5,-884.3,Rxh4,-928.0,43.700000000000045
1,white,h4h7,-619.1,Rh5,-830.4,211.29999999999995
1,white,h5f5,-515.7,Rg5,17903.8,-18419.5
1,white,g5f5,-422.4,Rg7+,884.8,-1307.1999999999998
1,white,d4d5,20009.0,d5,17885.4,2123.5999999999985
1,white,e4e5,11511.4,d6,15775.0,-4263.6
2,white,e2e4,34.0,e4,29.5,4.5
2,white,g1f3,30.0,Nf3,32.8,-2.799999999999997
2,white,f1b5,33.7,Ng5,-457.0,490.7
2,white,f1c4,30.3,Bb5,-99.8,130.1
2,white,g5f3,-46.8,Bxc6,-434.8,388.0
2,white,g5f7,181.8,Bxd7+,13.0,168.8
2,white,g5f3,26.4,Nf3,38.4,-12.0
2,white,d2d3,59.4,Ng5,-590.6,650.0
