Iteration,Puzzle ID,Method,Best Move Score,Qwen Move Score
1,1,Qwen:32B,195,77
2,1,Qwen:32B,195,77
1,1,Qwen:32B,195,77
2,1,Qwen:32B,195,77
3,1,Qwen:32B,195,77
4,1,Qwen:32B,195,41
5,1,Qwen:32B,195,77
6,1,Qwen:32B,195,77
7,1,Qwen:32B,195,41
8,1,Qwen:32B,195,77
9,1,Qwen:32B,195,77
10,1,Qwen:32B,195,41
11,1,Qwen:32B,195,77
12,1,Qwen:32B,195,77
13,1,Qwen:32B,195,41
14,1,Qwen:32B,195,77
15,1,Qwen:32B,195,77
16,1,Qwen:32B,195,41
17,1,Qwen:32B,195,77
18,1,Qwen:32B,195,77
19,1,Qwen:32B,195,41
20,1,Qwen:32B,195,77
21,1,Qwen:32B,195,77
22,1,Qwen:32B,195,77
23,1,Qwen:32B,195,77
24,1,Qwen:32B,195,77
25,1,Qwen:32B,195,77
26,1,Qwen:32B,195,77
27,1,Qwen:32B,195,41
28,1,Qwen:32B,195,77
29,1,Qwen:32B,195,77
30,1,Qwen:32B,195,77
31,1,Qwen:32B,195,77
32,1,Qwen:32B,195,41
33,1,Qwen:32B,195,77
34,1,Qwen:32B,195,77
35,1,Qwen:32B,195,77
36,1,Qwen:32B,195,77
37,1,Qwen:32B,195,77
38,1,Qwen:32B,195,41
39,1,Qwen:32B,195,41
40,1,Qwen:32B,195,77
41,1,Qwen:32B,195,77
42,1,Qwen:32B,195,77
43,1,Qwen:32B,195,77
44,1,Qwen:32B,195,41
45,1,Qwen:32B,195,77
46,1,Qwen:32B,195,77
47,1,Qwen:32B,195,77
48,1,Qwen:32B,195,41
49,1,Qwen:32B,195,77
50,1,Qwen:32B,195,77
1,2,Qwen:32B,156,-8
2,2,Qwen:32B,156,43
3,2,Qwen:32B,156,-8
4,2,Qwen:32B,156,43
5,2,Qwen:32B,156,43
6,2,Qwen:32B,156,-8
7,2,Qwen:32B,156,43
8,2,Qwen:32B,156,-8
9,2,Qwen:32B,156,43
10,2,Qwen:32B,156,-8
11,2,Qwen:32B,156,-8
12,2,Qwen:32B,156,43
13,2,Qwen:32B,156,43
14,2,Qwen:32B,156,-8
15,2,Qwen:32B,156,43
16,2,Qwen:32B,156,-8
17,2,Qwen:32B,156,43
18,2,Qwen:32B,156,-8
19,2,Qwen:32B,156,-8
20,2,Qwen:32B,156,-8
21,2,Qwen:32B,156,43
22,2,Qwen:32B,156,-8
23,2,Qwen:32B,156,-8
24,2,Qwen:32B,156,43
25,2,Qwen:32B,156,-8
26,2,Qwen:32B,156,-8
27,2,Qwen:32B,156,43
28,2,Qwen:32B,156,-8
29,2,Qwen:32B,156,-8
30,2,Qwen:32B,156,-8
31,2,Qwen:32B,156,-8
32,2,Qwen:32B,156,43
33,2,Qwen:32B,156,-8
34,2,Qwen:32B,156,-8
35,2,Qwen:32B,156,-8
36,2,Qwen:32B,156,-8
37,2,Qwen:32B,156,-8
38,2,Qwen:32B,156,-8
39,2,Qwen:32B,156,43
40,2,Qwen:32B,156,43
41,2,Qwen:32B,156,-8
42,2,Qwen:32B,156,-8
43,2,Qwen:32B,156,-8
44,2,Qwen:32B,156,43
45,2,Qwen:32B,156,-8
46,2,Qwen:32B,156,43
47,2,Qwen:32B,156,43
48,2,Qwen:32B,156,43
49,2,Qwen:32B,156,43
50,2,Qwen:32B,156,43
1,3,Qwen:32B,75,50
2,3,Qwen:32B,75,50
3,3,Qwen:32B,75,50
4,3,Qwen:32B,75,50
5,3,Qwen:32B,75,50
6,3,Qwen:32B,75,50
7,3,Qwen:32B,75,50
8,3,Qwen:32B,75,50
9,3,Qwen:32B,75,50
10,3,Qwen:32B,75,50
11,3,Qwen:32B,75,50
12,3,Qwen:32B,75,50
13,3,Qwen:32B,75,50
14,3,Qwen:32B,75,50
15,3,Qwen:32B,75,50
16,3,Qwen:32B,75,50
17,3,Qwen:32B,75,50
18,3,Qwen:32B,75,50
19,3,Qwen:32B,75,50
20,3,Qwen:32B,75,50
21,3,Qwen:32B,75,50
22,3,Qwen:32B,75,50
23,3,Qwen:32B,75,50
24,3,Qwen:32B,75,50
25,3,Qwen:32B,75,50
26,3,Qwen:32B,75,50
27,3,Qwen:32B,75,50
