Puzzle ID,Method,Best Move,Best Move Score,Llama Move,Llama Move Score
1,Llama3.3,Bxb5,195,{'Nf3'},77
2,Llama3.3,exf5,156,{'Nh3'},43
3,Llama3.3,d4,75,{'Nh3'},-79
4,Llama3.3,d4,96,{'Nh3'},7
5,Llama3.3,d4,160,{'Nh3'},108
6,Llama3.3,d4,73,{'Nh3'},-58
7,Llama3.3,d4,205,{'Nh3'},68
8,Llama3.3,d4,135,{'Nh3'},-24
9,Llama3.3,d4,126,{'Nh3'},-20
10,Llama3.3,Nf3,86,{'Nh3'},-59
11,Llama3.3,Nc3,115,{'Nh3'},1
12,Llama3.3,exf6,499,{'Nf3'},134
13,Llama3.3,exf6,385,{'Nf3'},227
14,Llama3.3,exf6,466,{'Nf3'},140
15,Llama3.3,exf6,354,{'Nf3'},125
16,Llama3.3,Qxg4,415,{'Nf3'},56
17,Llama3.3,exf6,455,{'Nf3'},122
18,Llama3.3,Qxh5,478,{'Nf3'},111
19,Llama3.3,exf6,435,{'Nf3'},82
20,Llama3.3,exf6,419,{'Nf3'},147
21,Llama3.3,exf6,427,{'Nf3'},111
22,Llama3.3,exf6,449,{'Nh3'},94
23,Llama3.3,exf6,429,{'Nf3'},133
24,Llama3.3,exf6,371,{'Nf3'},89
25,Llama3.3,exf6,397,{'Nh3'},-11
26,Llama3.3,exf6,448,{'Nf3'},159
27,Llama3.3,exf6,481,{'Nf3'},211
28,Llama3.3,d4,178,{'Nf3'},124
29,Llama3.3,exf6,475,{'Nf3'},132
30,Llama3.3,c4,162,{'Nf3'},113
31,Llama3.3,Bxf4,624,{'Nf3'},237
32,Llama3.3,exf6,523,{'Nf3'},195
33,Llama3.3,c4,163,{'Nf3'},130
34,Llama3.3,c4,222,{'Nf3'},211
35,Llama3.3,c4,117,{'Nh3'},11
36,Llama3.3,c4,245,{'Nf3'},155
37,Llama3.3,c4,161,{'Nh3'},31
38,Llama3.3,Nxc3,635,{'Nf3'},-593
39,Llama3.3,c4,225,{'Nf3'},168
40,Llama3.3,Bxe3,639,{'Nf3'},-561
41,Llama3.3,c4,136,{'Nf3'},62
42,Llama3.3,c4,170,{'Nh3'},116
43,Llama3.3,c4,121,{'Nf3'},114
44,Llama3.3,a3,190,{'Nf3'},156
45,Llama3.3,c4,239,{'Nf3'},159
46,Llama3.3,Nc3,99,{'Nf3'},94
47,Llama3.3,Bxb5,208,{'Nf3'},159
48,Llama3.3,c4,130,{'Nh3'},25
49,Llama3.3,c4,245,{'Nf3'},178
50,Llama3.3,dxc5,151,{'Nf3'},44
51,Llama3.3,cxd5,509,{'Nf3'},122
52,Llama3.3,cxd5,448,{'Nf3'},135
53,Llama3.3,cxd5,531,{'Nf3'},211
54,Llama3.3,Qxg4,500,{'Nh3'},-495
55,Llama3.3,Bxf4,438,{'Nf3'},63
56,Llama3.3,cxd5,618,{'Nh3'},125
57,Llama3.3,cxd5,523,{'Nh3'},61
58,Llama3.3,Nxh3,684,{'Nf3'},513
59,Llama3.3,cxd5,518,{'Nf3'},128
60,Llama3.3,cxd5,652,{'Nf3'},311
61,Llama3.3,cxd5,332,{'Nf3'},56
62,Llama3.3,cxd5,596,{'Nh3'},-57
63,Llama3.3,Bxe3,505,{'Nh3'},-665
64,Llama3.3,cxd5,459,{'Nh3'},16
65,Llama3.3,Nxc3,517,{'Nf3'},-610
66,Llama3.3,exf6,531,{'Nf3'},59
67,Llama3.3,Qa4+,215,{'Nf3'},-20
68,Llama3.3,cxd5,477,{'Nf3'},-16
69,Llama3.3,cxd5,411,{'Nf3'},113
70,Llama3.3,cxd5,483,{'Nf3'},125
71,Llama3.3,cxd5,498,{'Nf3'},166
72,Llama3.3,cxd5,539,{'Nf3'},170
73,Llama3.3,cxd5,498,{'Nf3'},111
74,Llama3.3,cxd5,499,{'Nf3'},55
75,Llama3.3,cxd5,526,{'Nf3'},238
76,Llama3.3,cxd5,557,{'Nh3'},121
77,Llama3.3,cxd5,547,{'Nh3'},48
78,Llama3.3,cxd5,471,{'Nh3'},-23
79,Llama3.3,cxd5,578,{'Nh3'},238
80,Llama3.3,cxd5,571,{'Nh3'},184
81,Llama3.3,dxc7,209,{'d5'},33
82,Llama3.3,c5,143,{'Nh3'},-42
83,Llama3.3,cxd5,621,{'dxe7'},222
84,Llama3.3,c5,194,{'d5'},32
85,Llama3.3,dxc7,207,{'d5'},185
86,Llama3.3,Qxa4+,593,{'d5'},180
87,Llama3.3,dxc7,254,{'d5'},92
88,Llama3.3,Nxh3,656,{'dxe7'},190
89,Llama3.3,d5,208,{'d5'},208
90,Llama3.3,Qxg4,594,{'d5'},-591
91,Llama3.3,Bxc4,546,{'d5'},-77
92,Llama3.3,dxc7,346,{'d5'},173
93,Llama3.3,dxc7,253,{'d5'},50
94,Llama3.3,c5,197,{'d5'},3
95,Llama3.3,dxc7,312,{'d5'},149
96,Llama3.3,dxc7,246,{'d5'},2
97,Llama3.3,c5,275,{'d5'},120
98,Llama3.3,dxc7,224,{'d5'},56
99,Llama3.3,a4,262,{'d5'},22
100,Llama3.3,Bd3,96,{'d5'},6
